question,answer
performed best with,IML
preference,IML
work with in future,IML
performed best with,no preference
preference,IML
work with in future,IML
performed best with,IML
preference,IML
work with in future,neither
performed best with,no preference
preference,H
work with in future,no preference
performed best with,H
preference,no preference
work with in future,no preference
performed best with,IML
preference,IML
work with in future,IML
performed best with,H
preference,no preference
work with in future,H
performed best with,H
preference,no preference
work with in future,no preference
performed best with,IML
preference,IML
work with in future,IML
